predictor,column,n,auroc,ci_lo,ci_hi,aupr,margin_over_null
VARITY_R (trained on ClinVar),varity_r_full,169989,0.9634743997820422,0.9605503852810108,0.9661162694354829,0.9323904373224027,0.044367961846982995
VARITY_R_LOO,varity,169989,0.9615181044706399,0.9586150279171143,0.964310728497757,0.9290091108039734,0.042411666535580705
gMVP,gmvp,169989,0.9590463696211585,0.95574854933709,0.9623478271494583,0.9311715663309611,0.03993993168609933
AlphaMissense,alphamissense,169989,0.9547832633128484,0.9514128985141697,0.9578770063894924,0.9181181287841668,0.035676825377789156
Gene-identity null,gene_prior,169989,0.9191064379350592,0.9132100356143049,0.9255990005720106,0.8422843266388833,0.0
