gene_symbol,n,n_pos,n_neg,varity,alphamissense,gmvp
CCDC88C,65,3,62,0.967741935483871,0.9086021505376344,0.9247311827956989
CCIN,8,4,4,1.0,1.0,1.0
CCNB3,25,5,20,0.9299999999999999,0.97,0.87
CCND2,12,8,4,1.0,1.0,1.0
CCNF,23,3,20,1.0,0.9833333333333333,0.7666666666666666
CCR2,6,3,3,1.0,1.0,1.0
CD40,6,3,3,0.888888888888889,1.0,1.0
CD40LG,41,27,14,0.9973544973544974,0.9920634920634921,0.9576719576719577
CDAN1,29,11,18,0.9595959595959596,0.9797979797979798,0.9393939393939394
CDC14A,12,4,8,1.0,1.0,1.0
CDC42BPB,67,14,53,0.9150943396226415,0.9460916442048517,0.8342318059299192
CDC73,10,7,3,1.0,1.0,1.0
CDH1,179,22,157,0.8844817602779387,0.7947307469600463,0.8242617255356108
CDH11,21,8,13,0.9903846153846154,1.0,0.9615384615384615
CDH2,26,14,12,0.8690476190476191,0.869047619047619,0.8571428571428572
CDH23,131,77,54,0.8472823472823473,0.9610389610389611,0.9543049543049542
CDH3,16,7,9,0.9841269841269841,0.9841269841269841,0.9682539682539681
CDHR1,27,4,23,0.8695652173913044,0.7934782608695652,0.8695652173913043
CDK10,8,3,5,0.8,0.8666666666666667,0.8666666666666667
CDK13,160,42,118,0.9622679580306699,0.9677158999192897,0.9602502017756255
CDK8,22,19,3,0.8771929824561404,0.9649122807017545,0.912280701754386
CDKL5,197,119,78,0.9881491057961647,0.9922430510665803,0.9881491057961646
CDKN2A,49,36,13,1.0,0.9978632478632479,0.8931623931623931
CDON,43,4,39,0.782051282051282,0.6923076923076923,0.7115384615384616
CDT1,24,3,21,0.8095238095238095,0.9047619047619047,0.6666666666666667
CEACAM16,17,6,11,0.7727272727272727,0.5,0.5303030303030303
CEBPA,30,7,23,0.8944099378881988,0.8695652173913044,0.9565217391304348
CELA2A,8,3,5,0.8666666666666667,0.8666666666666667,0.9333333333333333
CELSR3,54,13,41,0.8592870544090055,0.8076923076923077,0.8142589118198874
CEP120,23,5,18,0.8666666666666667,0.9444444444444444,0.9666666666666667
CEP290,38,14,24,0.875,0.8363095238095238,0.8184523809523809
CEP76,12,8,4,0.875,0.875,0.90625
CEP78,10,4,6,0.7916666666666667,0.9583333333333334,0.8333333333333334
CEP83,14,3,11,1.0,1.0,1.0
CERKL,18,12,6,0.9305555555555556,0.9305555555555556,0.8333333333333334
CERS3,21,4,17,1.0,1.0,0.9852941176470588
CFAP410,17,7,10,0.9571428571428572,1.0,1.0
CFAP43,24,4,20,0.9375,1.0,1.0
CFAP54,8,4,4,1.0,0.9375,0.75
CFAP61,17,4,13,1.0,0.9615384615384616,0.9615384615384616
CFAP74,22,6,16,0.8229166666666667,0.8958333333333334,0.9166666666666666
CFB,17,7,10,0.9142857142857144,0.9357142857142857,0.9142857142857143
CFI,47,37,10,0.927027027027027,0.9162162162162163,0.9108108108108108
CFP,13,3,10,0.9666666666666667,1.0,1.0
CFTR,294,278,16,0.9946043165467626,0.9826888489208634,0.9808902877697842
CHAT,57,30,27,0.9790123456790123,0.9456790123456791,0.9777777777777779
CHCHD10,10,4,6,0.8333333333333334,0.8333333333333334,0.75
CHD1,22,4,18,0.875,0.8888888888888888,0.7916666666666667
CHD2,145,71,74,0.9440426341834792,0.9368100494861058,0.9415683288922725
CHD4,86,57,29,0.9509981851179672,0.9758015728977616,0.9751966122202056
CHD7,404,88,316,0.9506976409666282,0.9467958860759494,0.9363132911392403
CHD8,144,35,109,0.9758846657929228,0.966186107470511,0.9601572739187417
CHM,37,10,27,0.9074074074074074,0.9185185185185185,0.8555555555555556
CHMP2B,6,3,3,0.6666666666666667,0.7777777777777779,1.0
CHRNA2,51,3,48,0.9236111111111112,0.9305555555555557,0.9444444444444444
CHRNA4,80,6,74,0.981981981981982,0.9842342342342343,1.0
CHRNB1,8,5,3,1.0,1.0,1.0
CHRNB2,19,5,14,0.8285714285714285,0.7428571428571429,0.8857142857142858
CHRND,15,12,3,0.9166666666666667,0.9444444444444444,0.8055555555555556
CHRNE,50,43,7,0.9202657807308969,0.9202657807308969,0.9069767441860465
CHRNG,14,7,7,1.0,0.9591836734693878,0.979591836734694
CHST14,18,7,11,1.0,1.0,1.0
CHST3,34,24,10,1.0,1.0,0.9875
CHST6,28,25,3,1.0,1.0,0.7466666666666666
CIT,18,6,12,0.986111111111111,1.0,1.0
CLCN1,131,117,14,0.9505494505494505,0.9700854700854701,0.9682539682539681
CLCN2,27,8,19,0.9539473684210527,0.9736842105263158,0.993421052631579
CLCN4,54,34,20,0.9073529411764705,0.9426470588235294,0.9044117647058824
CLCN7,58,39,19,0.9838056680161944,0.9662618083670714,0.9784075573549258
CLCNKB,48,23,25,0.9843478260869566,0.9930434782608696,0.9652173913043478
CLN3,27,23,4,1.0,0.9347826086956521,0.8695652173913043
CLN6,27,23,4,0.967391304347826,1.0,0.8152173913043478
CLN8,29,25,4,0.83,0.88,0.79
CMPK2,10,3,7,1.0,0.9523809523809524,1.0
CNGA3,137,122,15,0.9967213114754099,0.9983606557377049,0.9967213114754099
CNGB1,41,11,30,0.9848484848484849,0.9727272727272727,0.9515151515151514
CNGB3,38,15,23,0.8840579710144928,0.8550724637681161,0.7536231884057971
CNKSR2,13,3,10,0.9666666666666667,1.0,1.0
CNNM2,25,18,7,0.8333333333333334,0.880952380952381,0.873015873015873
CNNM4,17,13,4,1.0,1.0,1.0
CNOT1,20,7,13,1.0,1.0,0.967032967032967
CNOT3,33,14,19,0.9924812030075187,1.0,0.9699248120300752
CNP,9,4,5,0.35,0.8500000000000001,1.0
CNTNAP1,12,6,6,1.0,1.0,1.0
COG7,11,5,6,1.0,0.9333333333333333,0.9333333333333333
COL10A1,49,25,24,0.8766666666666666,0.8316666666666667,0.8566666666666667
COL11A1,230,45,185,0.9448648648648649,0.9542342342342343,0.9786186186186185
COL12A1,138,13,125,0.9440000000000001,0.9686153846153847,0.9821538461538462
COL17A1,54,12,42,0.8968253968253969,0.8670634920634921,0.8690476190476191
COL1A2,564,550,14,0.9994805194805195,0.9993506493506494,0.999090909090909
COL25A1,8,3,5,1.0,0.8666666666666667,1.0
COL27A1,78,6,72,1.0,0.9953703703703703,1.0
COL2A1,602,474,128,0.9621654140295359,0.9761092431434599,0.9801391086497891
COL3A1,587,567,20,0.9974426807760142,0.9988536155202822,0.9992063492063492
COL4A1,287,258,29,0.9561614541566426,0.9869018978882651,0.9953221063886661
COL4A2,98,29,69,0.9880059970014993,0.9880059970014993,1.0
COL4A3,417,366,51,0.9913211186113791,0.9949105325190185,0.9974820529304619
COL4A4,325,276,49,0.9667258207630879,0.992309967465247,0.985876959479444
COL4A5,726,643,83,0.9915868762764901,0.9905844216680095,0.9937042103093555
COL5A1,246,41,205,0.9568114217727544,0.9341463414634147,0.9237358715050565
COL5A2,103,22,81,0.9635241301907969,0.9747474747474748,0.9870931537598204
COL6A1,166,52,114,0.9321862348178137,0.9267881241565452,0.951923076923077
COL6A2,126,64,62,0.9813508064516129,0.988407258064516,0.9621975806451613
COL6A3,227,33,194,0.9561074664167448,0.9649328334895346,0.9598562949078414
COL7A1,511,297,214,0.9569684382768495,0.9530192894678877,0.9697599043393436
COLGALT1,7,4,3,0.9166666666666667,1.0,1.0
COLQ,23,18,5,0.8333333333333333,0.8666666666666666,0.8
COMP,154,143,11,0.8874761602034329,0.880483153210426,0.7984742530197075
COPA,25,6,19,0.9736842105263158,0.9298245614035088,0.7631578947368421
COQ4,21,14,7,0.9693877551020409,0.8877551020408164,0.9183673469387754
COQ6,13,5,8,0.9,0.95,0.9
COQ7,14,7,7,0.9591836734693877,0.7142857142857143,0.8163265306122449
COQ8A,42,31,11,1.0,1.0,0.9706744868035191
COQ8B,21,12,9,1.0,0.9722222222222222,1.0
COX10,14,7,7,0.979591836734694,1.0,0.979591836734694
COX15,6,3,3,1.0,1.0,1.0
CPA1,33,3,30,1.0,1.0,1.0
CPLANE1,61,22,39,0.9662004662004662,0.9533799533799534,0.9988344988344988
CPOX,19,9,10,0.9666666666666668,0.9777777777777779,0.9555555555555556
CPT1A,40,25,15,1.0,0.9973333333333333,0.9946666666666667
CPT1C,17,3,14,0.9285714285714286,0.8333333333333333,0.9523809523809524
CPT2,40,30,10,0.9,0.8866666666666667,0.8733333333333333
CRADD,11,4,7,0.9285714285714286,0.7142857142857143,0.7857142857142857
CRB1,198,180,18,0.9478395061728395,0.9290123456790125,0.8978395061728395
CRB2,53,10,43,0.9511627906976745,0.9465116279069767,0.9604651162790697
CREBBP,307,122,185,0.9541426672574214,0.9788435976960567,0.9767390341160833
CRELD1,9,3,6,0.7777777777777778,0.9444444444444444,0.8333333333333334
CRLF1,11,7,4,0.8571428571428571,0.9285714285714286,0.8571428571428571
CRX,27,17,10,0.9705882352941176,1.0,0.9294117647058824
CRYAB,9,6,3,1.0,1.0,1.0
CRYBA4,10,5,5,1.0,1.0,1.0
CRYBB1,13,7,6,1.0,0.9523809523809524,0.7619047619047619
CRYBB2,15,12,3,1.0,1.0,1.0
CRYBB3,8,5,3,1.0,1.0,0.9333333333333333
CRYGC,9,4,5,1.0,1.0,0.9
CRYGD,15,8,7,0.5535714285714286,0.5892857142857143,0.6607142857142857
CSF1R,109,41,68,0.992467718794835,0.9949784791965567,0.9687948350071736
CSF3R,15,3,12,0.75,0.9444444444444444,0.888888888888889
CSNK2A1,54,43,11,0.9936575052854122,0.989429175475687,0.9767441860465116
CTC1,26,10,16,0.80625,0.84375,0.75
CTCF,49,39,10,0.9743589743589743,0.982051282051282,0.9538461538461538
CTLA4,32,20,12,1.0,0.9874999999999999,0.9458333333333333
CTNNB1,35,28,7,0.9285714285714286,0.9336734693877551,0.9642857142857143
CTNND1,17,4,13,0.9615384615384616,0.9615384615384616,0.923076923076923
CTNS,42,31,11,0.9560117302052785,0.9266862170087977,0.9178885630498533
CTR9,29,15,14,0.9095238095238096,0.9142857142857144,0.861904761904762
CTSC,22,18,4,0.9722222222222222,0.9861111111111112,1.0
CTSD,7,3,4,1.0,1.0,1.0
CTSF,11,4,7,1.0,1.0,1.0
CTSK,28,25,3,0.96,0.9466666666666667,1.0
CUBN,100,13,87,0.9045092838196287,0.9213085764809903,0.9018567639257294
CUL3,28,19,9,0.9064327485380117,0.9707602339181287,0.9122807017543859
CUX2,74,3,71,1.0,1.0,0.9953051643192489
CWF19L1,16,4,12,0.9375,0.8958333333333334,0.8958333333333334
CYBA,16,12,4,1.0,1.0,0.9583333333333334
CYBB,89,61,28,0.9607728337236533,0.9730679156908664,0.9115925058548009
CYFIP2,32,10,22,0.7363636363636363,0.8863636363636364,0.7863636363636364
CYLD,10,4,6,0.8333333333333333,1.0,0.875
CYP11A1,20,15,5,0.8933333333333333,0.88,0.9199999999999999
CYP11B1,65,56,9,0.9900793650793651,0.9781746031746031,0.8908730158730159
CYP11B2,38,19,19,0.961218836565097,0.9889196675900277,0.853185595567867
CYP17A1,68,60,8,1.0,0.9916666666666667,0.9875
CYP19A1,19,12,7,0.9880952380952381,1.0,0.9404761904761906
CYP1B1,57,47,10,0.925531914893617,0.9404255319148936,0.8872340425531915
CYP24A1,23,12,11,0.9924242424242424,0.9772727272727272,0.8863636363636364
CYP26B1,16,5,11,0.9818181818181818,0.9272727272727272,0.9272727272727272
CYP27A1,39,30,9,0.9333333333333333,0.9555555555555555,0.9777777777777777
CYP27B1,38,34,4,0.9632352941176471,1.0,0.9632352941176471
CYP2U1,22,14,8,0.9821428571428572,0.9107142857142857,0.9464285714285714
CYP4F22,46,27,19,0.9785575048732944,0.97270955165692,0.8791423001949318
CYP4V2,33,25,8,1.0,1.0,1.0
CYP7B1,21,17,4,0.9411764705882353,0.8970588235294118,0.8970588235294118
D2HGDH,24,12,12,0.9930555555555555,0.9444444444444444,0.9791666666666666
DARS2,26,18,8,0.9861111111111112,0.9305555555555556,0.9305555555555556
DAW1,7,3,4,1.0,1.0,1.0
DCC,33,8,25,0.7,0.735,0.6950000000000001
DCDC2,10,4,6,0.9583333333333334,0.7916666666666666,0.9166666666666667
DCHS1,62,3,59,0.9887005649717514,0.9491525423728813,0.8983050847457628
DCLRE1B,11,3,8,1.0,1.0,1.0
DCLRE1C,32,19,13,0.9838056680161943,0.9878542510121457,0.9190283400809717
DCT,9,4,5,1.0,1.0,1.0
DCTN1,43,9,34,0.9705882352941175,0.9673202614379085,0.9542483660130718
DDB1,11,6,5,0.6666666666666666,0.6666666666666666,0.5666666666666667
DDB2,8,3,5,1.0,1.0,1.0
DDC,43,36,7,0.9365079365079365,0.9642857142857142,0.9047619047619048
DDX23,12,4,8,1.0,1.0,1.0
DDX3X,132,126,6,0.966931216931217,0.9841269841269842,0.8650793650793651
DDX41,51,10,41,0.9658536585365853,0.8951219512195122,0.8512195121951219
DDX54,17,3,14,0.7857142857142856,0.6904761904761905,0.5714285714285714
DDX6,12,8,4,1.0,1.0,0.96875
DEAF1,64,48,16,0.98046875,0.9908854166666666,1.0
DEGS1,14,7,7,0.8775510204081632,0.8367346938775511,0.7959183673469388
DEPDC5,32,4,28,0.9375,0.8928571428571428,0.9642857142857143
DES,48,45,3,0.9925925925925927,1.0,0.962962962962963
DGAT1,12,6,6,1.0,1.0,1.0
DGKE,14,11,3,1.0,0.9696969696969697,0.9696969696969697
DHCR7,124,117,7,0.9938949938949939,0.9987789987789988,0.9621489621489622
DHODH,15,7,8,0.9821428571428571,0.9821428571428571,0.8571428571428571
DHX16,13,6,7,0.8571428571428572,1.0,1.0
DHX30,43,11,32,0.9886363636363636,0.9857954545454546,0.9375
DHX37,45,12,33,0.9090909090909091,0.9318181818181819,0.9242424242424242
DHX38,16,3,13,0.9743589743589745,1.0,1.0
DHX9,8,5,3,0.6666666666666667,0.9333333333333333,0.8
DICER1,105,37,68,0.9852941176470589,0.9789348171701113,0.9761526232114468
DKC1,28,23,5,0.7217391304347827,0.8782608695652174,0.5130434782608696
DLD,20,16,4,1.0,0.984375,0.921875
DLL1,28,4,24,1.0,0.90625,0.9791666666666666
DLL4,33,17,16,0.9852941176470589,0.9852941176470589,0.9669117647058824
DLX5,8,5,3,1.0,1.0,1.0
DMRT1,11,6,5,0.8666666666666667,1.0,0.8333333333333334
DNA2,19,4,15,0.8666666666666667,0.9333333333333333,1.0
DNAAF1,33,3,30,0.9888888888888889,0.9666666666666667,0.9777777777777777
DNAAF4,8,3,5,1.0,0.7333333333333333,0.8666666666666667
DNAAF5,33,3,30,0.9888888888888889,1.0,0.9777777777777777
DNAH11,1073,23,1050,0.8385093167701864,0.8918840579710146,0.8582608695652174
DNAH17,102,5,97,0.911340206185567,0.9649484536082475,0.9546391752577319
DNAH2,69,4,65,0.8807692307692307,0.9384615384615385,0.926923076923077
DNAH5,447,42,405,0.9082304526748971,0.9192533803644914,0.8934156378600823
DNAH7,68,3,65,0.8358974358974358,0.8205128205128205,0.6307692307692307
DNAH9,91,5,86,0.927906976744186,0.9790697674418605,0.9813953488372092
DNAI2,20,4,16,0.984375,1.0,0.84375
DNAJB11,8,3,5,1.0,0.9333333333333333,0.8666666666666667
DNAJB6,14,10,4,1.0,1.0,1.0
DNASE2,7,3,4,1.0,1.0,1.0
DNHD1,124,4,120,0.975,0.9062499999999999,0.8166666666666668
DNM1,85,47,38,0.9115341545352743,0.9322508398656215,0.8924972004479284
DNM2,51,30,21,0.8539682539682539,0.9158730158730157,0.8746031746031746
DNMT3A,77,66,11,0.9931129476584022,0.990358126721763,0.9820936639118457
DNMT3B,28,19,9,1.0,1.0,1.0
DOCK11,15,9,6,0.8518518518518519,0.888888888888889,0.7962962962962963
DOCK4,14,3,11,0.7878787878787878,0.9090909090909091,0.8181818181818181
DOK7,30,10,20,0.9450000000000001,0.975,0.95
DOLK,13,8,5,1.0,1.0,0.925
DONSON,19,7,12,0.9761904761904763,0.9761904761904763,0.9642857142857142
DOT1L,43,8,35,0.9857142857142857,0.9857142857142857,0.9500000000000001
DPY19L2,13,4,9,1.0,1.0,1.0
DPYD,14,9,5,1.0,0.9333333333333333,0.8888888888888888
DPYS,16,12,4,1.0,1.0,1.0
DSG2,47,7,40,0.9035714285714286,0.9607142857142856,0.9571428571428572
DSG4,17,4,13,0.9615384615384616,1.0,0.9615384615384616
DSP,145,22,123,0.8743532889874354,0.9360679970436068,0.8732446415373244
DSPP,61,6,55,0.9848484848484849,0.9303030303030303,1.0
DTYMK,8,3,5,1.0,1.0,0.9333333333333333
DUOX2,49,16,33,0.9412878787878788,0.9005681818181818,0.9261363636363638
DUOXA2,9,4,5,0.9500000000000001,0.85,0.85
DYM,7,4,3,0.9166666666666667,0.8333333333333334,0.75
DYNC1H1,395,150,245,0.933061224489796,0.9714557823129251,0.9104489795918368
DYNC2H1,94,66,28,0.9420995670995671,0.8939393939393939,0.9312770562770563
DYSF,17,13,4,0.7307692307692308,0.75,1.0
EARS2,21,15,6,0.9888888888888889,0.9444444444444445,1.0
EBF3,49,44,5,0.7954545454545454,0.9727272727272727,0.8045454545454546
EBP,42,30,12,1.0,0.9944444444444445,1.0
ECE1,12,4,8,1.0,0.8125,0.9375
ECEL1,28,14,14,0.9234693877551019,0.9081632653061223,0.903061224489796
ECHS1,47,42,5,0.9714285714285715,0.8238095238095238,0.8666666666666667
EDA,150,128,22,0.8828125,0.9133522727272727,0.9367897727272727
EDAR,44,38,6,0.7807017543859649,0.9035087719298246,0.7675438596491229
EDEM3,6,3,3,0.6666666666666667,0.7777777777777778,0.6666666666666667
EDN1,7,3,4,1.0,1.0,0.9166666666666666
EED,13,10,3,0.9666666666666668,1.0,1.0
EEF1A2,52,41,11,0.6496674057649667,0.9600886917960089,0.6651884700665188
EFEMP1,7,4,3,0.9166666666666667,1.0,0.8333333333333334
EFEMP2,18,13,5,0.9384615384615385,0.8769230769230769,0.8
EFL1,19,3,16,0.8958333333333334,0.9166666666666666,0.9791666666666666
EFNB1,27,21,6,1.0,0.9920634920634921,0.9682539682539683
EFTUD2,39,25,14,0.9914285714285715,0.9914285714285713,0.96
EGFR,64,16,48,0.97265625,0.98828125,0.9440104166666665
EGR2,21,18,3,1.0,1.0,1.0
EHMT1,370,30,340,0.9776470588235294,0.9748039215686275,0.9805882352941176
EIF2AK3,18,6,12,1.0,1.0,0.9444444444444445
EIF2AK4,37,9,28,1.0,1.0,0.9722222222222223
EIF2B2,16,13,3,1.0,1.0,1.0
EIF2B3,16,13,3,0.9230769230769231,0.8974358974358975,0.9487179487179488
EIF2B5,60,53,7,0.9703504043126685,0.9757412398921832,0.9730458221024259
ELAC2,21,9,12,1.0,0.962962962962963,0.9537037037037037
ELANE,87,65,22,0.9566433566433566,0.9279720279720279,0.8741258741258742
ELN,21,8,13,0.9230769230769231,0.7307692307692308,0.625
ELOVL4,8,5,3,1.0,0.9333333333333333,1.0
ELP1,21,3,18,1.0,1.0,1.0
EMC1,25,9,16,0.9097222222222222,0.8472222222222222,0.8402777777777778
EMD,17,6,11,0.8484848484848484,0.803030303030303,0.7727272727272727
ENG,200,92,108,0.9241143317230274,0.9248188405797102,0.9180756843800322
ENPP1,33,28,5,0.9714285714285715,0.8857142857142857,0.9357142857142857
EOGT,10,3,7,1.0,1.0,1.0
EP300,304,45,259,0.9168597168597169,0.9241527241527241,0.9353925353925353
EPAS1,49,8,41,0.9847560975609756,1.0,0.9115853658536586
EPB41,10,4,6,0.9166666666666667,0.875,0.875
EPCAM,30,4,26,1.0,0.9230769230769231,0.9615384615384616
EPG5,52,8,44,0.8295454545454546,0.8011363636363636,0.7897727272727273
EPHA2,25,4,21,0.9166666666666667,0.9761904761904762,0.8214285714285714
EPHB4,100,20,80,0.98875,1.0,0.9693750000000001
ERBB2,30,11,19,0.6985645933014354,0.7799043062200958,0.8851674641148325
ERBB3,22,7,15,0.9142857142857144,0.9904761904761905,0.9619047619047619
ERBB4,11,3,8,0.8333333333333333,0.8333333333333333,0.75
ERCC2,31,24,7,0.9880952380952381,1.0,0.9642857142857143
ERCC3,9,3,6,0.888888888888889,0.7777777777777778,0.888888888888889
ERCC4,15,7,8,0.9464285714285714,1.0,0.9464285714285714
ERCC5,22,10,12,1.0,1.0,0.9916666666666666
ERF,20,6,14,0.9880952380952381,0.9523809523809523,0.9523809523809523
ERI1,10,6,4,1.0,1.0,1.0
ERLEC1,7,4,3,0.8333333333333334,0.8333333333333334,0.5833333333333333
ESCO2,13,3,10,1.0,1.0,1.0
ESPN,23,3,20,0.8666666666666667,0.75,0.5
ETFA,11,8,3,0.875,0.875,0.9166666666666667
ETFDH,103,98,5,0.9938775510204082,0.9959183673469388,0.9897959183673469
ETHE1,23,20,3,0.9166666666666666,0.9,0.8833333333333334
ETV6,50,11,39,0.9020979020979022,0.951048951048951,0.9836829836829837
EVC,47,7,40,0.9714285714285714,0.8714285714285714,0.9571428571428572
EVC2,39,3,36,0.9814814814814814,0.9907407407407407,0.9166666666666666
EXOSC3,20,16,4,1.0,0.859375,0.984375
EXOSC5,6,3,3,1.0,1.0,1.0
EXOSC9,7,3,4,1.0,1.0,1.0
EXT1,60,46,14,0.9875776397515528,0.9860248447204969,0.9875776397515528
EYA1,36,19,17,0.9318885448916407,0.9102167182662539,0.9195046439628483
EYS,77,25,52,0.9207692307692308,0.9188461538461539,0.7823076923076923
EZH2,27,9,18,0.9197530864197531,0.9753086419753086,0.9135802469135802
F10,35,29,6,0.896551724137931,0.9540229885057472,0.942528735632184
F11,73,65,8,0.9192307692307692,0.9673076923076923,0.8865384615384615
F12,18,5,13,0.8307692307692307,0.9692307692307693,0.8769230769230769
F2,28,23,5,0.9826086956521739,0.9652173913043479,0.9826086956521739
F5,62,17,45,0.918954248366013,0.9516339869281046,0.9477124183006536
F8,420,382,38,0.9793331496279968,0.9810553871589971,0.9880132267842381
F9,224,202,22,0.9324932493249326,0.9466696669666966,0.9007650765076507
FA2H,31,23,8,0.9510869565217391,0.9456521739130435,0.9402173913043479
FAH,40,36,4,0.9444444444444444,0.8958333333333333,0.736111111111111
FAM111A,49,8,41,0.6890243902439024,0.573170731707317,0.7804878048780488
FAM111B,24,6,18,1.0,0.9444444444444444,0.9537037037037036
FAM20A,16,3,13,0.9743589743589745,0.9743589743589745,0.9487179487179487
FAM20C,28,13,15,1.0,1.0,1.0
FAM50A,7,4,3,1.0,1.0,1.0
FANCA,173,85,88,0.9741978609625668,0.9502673796791444,0.9576203208556151
FANCB,48,3,45,0.9925925925925926,1.0,1.0
FANCC,34,5,29,0.9862068965517242,0.9103448275862069,0.9448275862068964
FANCD2,23,7,16,0.9553571428571428,0.8705357142857143,0.9107142857142857
FANCF,10,3,7,1.0,1.0,1.0
FANCG,37,11,26,0.9615384615384616,0.9195804195804196,0.9440559440559441
FANCI,30,7,23,0.8757763975155279,0.8509316770186335,0.9192546583850931
FARS2,37,26,11,0.986013986013986,0.9825174825174825,0.951048951048951
FARSA,9,4,5,1.0,0.9500000000000001,0.9500000000000001
FARSB,15,8,7,0.9285714285714286,0.9285714285714286,0.8571428571428572
FAS,43,37,6,0.8873873873873875,0.936936936936937,0.6126126126126127
FASTKD2,21,3,18,1.0,1.0,1.0
FASTKD5,12,3,9,1.0,1.0,1.0
FAT1,124,5,119,0.7109243697478991,0.6605042016806723,0.6823529411764706
FBN2,289,86,203,0.9749112154886012,0.9687822201855883,0.9773742696757933
FBP1,20,14,6,1.0,0.9880952380952381,1.0
FBXO11,129,63,66,0.8686868686868686,0.9420394420394421,0.9016354016354016
FBXO7,19,6,13,0.9743589743589743,0.9358974358974359,1.0
FBXW7,19,13,6,1.0,1.0,0.9871794871794872
FGA,20,12,8,0.9583333333333334,0.9895833333333334,0.8229166666666666
FGB,14,8,6,0.9375,1.0,0.9375
FGD1,46,12,34,0.9534313725490197,0.9779411764705882,0.9362745098039216
FGF23,14,11,3,1.0,1.0,0.9696969696969697
FGFR2,31,23,8,0.9945652173913043,1.0,1.0
FGFR3,27,11,16,0.9715909090909091,0.9943181818181818,0.9829545454545454
FGG,20,16,4,1.0,1.0,1.0
FH,167,161,6,0.9958592132505176,0.9979296066252589,0.9927536231884059
FIG4,12,7,5,0.8857142857142857,0.8,0.7428571428571429
FKBP10,12,9,3,0.888888888888889,0.7407407407407408,0.7777777777777778
FKTN,16,12,4,1.0,1.0,1.0
FLCN,28,16,12,0.9635416666666666,0.96875,0.9791666666666667
FLNA,266,47,219,0.9138249295637813,0.9036238220149616,0.8997376858058876
FLNB,113,31,82,0.9838709677419355,0.966168371361133,0.9799370574350905
FLNC,124,27,97,0.8934707903780069,0.9060710194730813,0.8827796869033983
FLT3,29,8,21,1.0,1.0,0.994047619047619
FLT4,75,33,42,0.994949494949495,0.9992784992784992,0.9682539682539684
FLVCR1,21,17,4,1.0,1.0,0.8970588235294117
FLVCR2,15,6,9,0.9444444444444444,0.9259259259259259,0.9259259259259259
FMO3,38,24,14,0.925595238095238,0.9047619047619047,0.9196428571428572
FMR1,19,5,14,0.9142857142857143,0.9571428571428571,0.9142857142857143
FN1,62,16,46,0.9850543478260869,0.9877717391304348,0.9959239130434783
FOLR1,10,6,4,1.0,0.9166666666666667,0.9166666666666667
FOXC1,41,34,7,0.9873949579831932,0.9747899159663864,0.9747899159663865
FOXC2,9,5,4,0.8,0.7,0.9
FOXE3,23,11,12,0.9696969696969696,0.9924242424242424,0.9772727272727273
FOXF1,36,25,11,0.9927272727272727,0.9854545454545454,0.9927272727272727
FOXG1,172,98,74,0.9873138444567017,0.9950358521787093,0.9873138444567017
FOXH1,12,6,6,0.9444444444444444,0.888888888888889,0.8611111111111112
FOXI1,7,4,3,0.9166666666666667,0.9166666666666667,0.9166666666666667
FOXI3,15,7,8,0.7142857142857142,0.9821428571428571,0.8571428571428571
FOXL2,39,36,3,0.9259259259259259,0.9629629629629629,0.9537037037037036
FOXN1,21,7,14,0.9591836734693878,0.9591836734693877,0.8877551020408163
FOXP1,63,27,36,0.9609053497942387,0.9516460905349794,0.9516460905349794
FOXP2,6,3,3,0.7777777777777778,0.7777777777777779,0.4444444444444445
FOXP3,47,24,23,0.9148550724637681,0.9311594202898551,0.8985507246376812
FOXRED1,11,7,4,0.8571428571428572,0.8214285714285714,0.8928571428571428
FREM1,47,4,43,0.9127906976744186,0.930232558139535,0.8662790697674418
FRMD5,8,5,3,1.0,1.0,0.9333333333333333
FRMD7,36,17,19,0.9535603715170279,0.9473684210526316,0.8885448916408669
FSIP2,149,5,144,0.9111111111111112,0.8694444444444445,0.8861111111111111
FTSJ1,13,4,9,0.8055555555555556,0.8888888888888888,0.8611111111111112
FUCA1,27,8,19,1.0,1.0,0.993421052631579
FUS,28,22,6,0.9242424242424242,0.9280303030303031,0.9848484848484849
FUT1,7,3,4,1.0,1.0,1.0
FXN,11,6,5,1.0,1.0,1.0
FZD2,14,4,10,1.0,1.0,1.0
FZD4,29,22,7,0.9805194805194805,1.0,1.0
G6PC3,19,13,6,1.0,1.0,1.0
G6PD,156,152,4,0.9786184210526315,0.888157894736842,0.9868421052631579
GAA,264,242,22,0.9543576258452292,0.9701352366641622,0.9611194590533434
GABBR1,11,8,3,1.0,0.9166666666666667,1.0
GABBR2,90,15,75,0.9208888888888889,0.8604444444444446,0.896
GABRA1,77,61,16,0.8135245901639343,0.8575819672131149,0.8463114754098361
GABRA2,28,18,10,0.8111111111111111,0.8444444444444443,0.8833333333333333
GABRA3,8,4,4,0.9375,0.9375,1.0
GABRA5,12,5,7,0.7714285714285714,0.8857142857142857,0.8571428571428572
GABRB1,8,5,3,1.0,1.0,0.7333333333333334
GABRB2,109,59,50,0.9555932203389831,0.9633898305084746,0.964406779661017
GABRB3,93,74,19,0.9864864864864865,0.9907539118065434,0.9715504978662874
GABRD,10,3,7,0.8095238095238095,0.9047619047619049,0.9047619047619048
GABRG2,26,18,8,1.0,1.0,0.9097222222222222
