min_variants,n_genes,n_variants,single_class,pathogenic_fraction,auroc,alphamissense_auroc,gap
1,14871,197904,0.7364669490955551,0.33542525669011236,0.9214808404924717,0.9559116082388516,0.034430767746379876
2,12305,195338,0.681511580658269,0.33915060049759904,0.9244565460595433,0.9557233345281914,0.031266788468648055
5,7582,181864,0.5412819836454761,0.35958188536488805,0.9237559977026453,0.954096281111857,0.030340283409211688
10,4201,159620,0.37348250416567486,0.3946247337426388,0.9205587136311115,0.9508784832396117,0.030319769608500136
20,1968,129668,0.21189024390243902,0.4395841688003208,0.9195418893810736,0.9478609842409434,0.02831909485986983
50,649,90407,0.07550077041602465,0.49007267136394306,0.9230004206808249,0.9439745727074111,0.020974152026586257
